"","School","Year","Total Applicants","Tuition and Fees","Avg Faculty Salary"
"404","University of Central Florida",2017,37693,6368,88895
"405","Florida Atlantic University",2017,15176,4831,81628
"406","Florida International University",2017,19757,6556,92317
"407","Florida State University",2017,35334,6507,99450
"408","University of Florida",2017,32747,6381,107263
"409","University of Miami",2017,30638,47004,110254
"410","University of South Florida",2017,31944,6410,91188
"411","Georgia Institute of Technology-Main Campus",2017,31497,12212,113408
"412","Georgia Southern University",2017,9202,6273,61948
"413","University of Georgia",2017,24165,11634,100687
"414","University of Hawaii at Manoa",2017,8501,11732,105935
"415","Boise State University",2017,8876,7080,70021
"416","University of Illinois Urbana-Champaign",2017,38965,15058,110178
"417","Northern Illinois University",2017,14641,14334,73802
"418","Northwestern University",2017,37259,50855,149801
"419","Ball State University",2017,24191,9654,67652
"420","Indiana University-Bloomington",2017,41939,10388,93585
"421","University of Notre Dame",2017,19564,49685,126013
"422","Iowa State University",2017,19262,8219,97969
"423","University of Iowa",2017,27734,8575,99670
"424","University of Kansas",2017,14538,11455,90682
"425","Kansas State University",2017,8517,9874,81452
"426","Pittsburg State University",2017,2486,6910,63902
"427","University of Kentucky",2017,18925,11484,96050
"428","University of Louisville",2017,10987,11264,78966
"429","Western Kentucky University",2017,9804,9912,65573
"430","Louisiana State University and Agricultural & Mechanical College",2017,17907,10814,89332
"431","Louisiana Tech University",2017,6952,9117,65526
"432","University of Louisiana at Monroe",2017,4035,8284,64438
"433","University of Louisiana at Lafayette",2017,10436,9450,77266
"434","Tulane University of Louisiana",2017,35622,51010,103089
"435","University of Maryland-College Park",2017,33922,10181,116219
"436","United States Naval Academy",2017,16299,NA,105960
"437","Boston College",2017,28454,51296,134797
"438","University of Massachusetts-Amherst",2017,42043,14971,111840
"439","Central Michigan University",2017,19021,12150,81505
"440","Eastern Michigan University",2017,16126,11209,86044
"441","University of Michigan-Ann Arbor",2017,59886,14402,105317
"442","Michigan State University",2017,36143,14062,106253
"443","Western Michigan University",2017,14263,12112,88526
"444","University of Minnesota-Duluth",2017,8700,13139,73530
"445","University of Mississippi",2017,17416,7744,80256
"446","Mississippi State University",2017,13973,7780,76184
"447","University of Southern Mississippi",2017,6372,7659,67655
"448","University of Missouri-Columbia",2017,16367,9518,85097
"449","University of Nebraska-Lincoln",2017,14947,8537,97272
"450","University of Nevada-Las Vegas",2017,9872,7183,94566
"451","University of Nevada-Reno",2017,9721,7142,90192
"452","Rutgers University-New Brunswick",2017,38384,14372,107178
"453","University of New Mexico-Main Campus",2017,11457,7340,80453
"454","New Mexico State University-Main Campus",2017,8192,6094,76416
"455","University at Buffalo",2017,27798,9574,91312
"456","Syracuse University",2017,33099,45022,101810
"457","United States Military Academy",2017,12973,NA,85448
"458","Appalachian State University",2017,14009,7136,75308
"459","Duke University",2017,33077,51265,143860
"460","East Carolina University",2017,15860,6997,78705
"461","University of North Carolina at Chapel Hill",2017,39650,8834,113524
"462","North Carolina State University at Raleigh",2017,26980,8880,98011
"463","Wake Forest University",2017,13071,49308,106158
"464","University of Akron Main Campus",2017,15109,10977,86028
"465","Bowling Green State University-Main Campus",2017,15629,11057,79462
"466","University of Cincinnati-Main Campus",2017,21593,11000,88899
"467","Kent State University at Kent",2017,15538,10012,81012
"468","Miami University-Oxford",2017,30255,14736,84557
"469","Ohio State University-Main Campus",2017,47782,10037,111006
"470","Ohio University-Main Campus",2017,26263,11744,81130
"471","University of Toledo",2017,10946,9244,79102
"472","Oklahoma State University-Main Campus",2017,13635,8321,80893
"473","University of Oklahoma-Norman Campus",2017,15579,10881,85891
"474","University of Tulsa",2017,7869,41509,96024
"475","Oregon State University",2017,14888,10366,87897
"476","University of Oregon",2017,20317,10761,89123
"477","Pennsylvania State University-Main Campus",2017,56114,17900,102273
"478","Temple University",2017,35880,16274,96861
"479","Clemson University",2017,26242,14708,92589
"480","University of South Carolina-Columbia",2017,26015,11454,96576
"481","Coastal Carolina University",2017,18563,10876,69935
"482","University of Memphis",2017,13741,9125,79678
"483","Middle Tennessee State University",2017,9938,8280,66138
"484","The University of Tennessee-Knoxville",2017,18872,12724,98069
"485","Vanderbilt University",2017,31462,45610,123287
"486","Baylor University",2017,37083,42006,87453
"487","University of Houston",2017,20768,9519,103387
"488","University of North Texas",2017,18650,10153,97026
"489","Rice University",2017,18063,43918,139332
"490","Southern Methodist University",2017,13128,50358,113241
"491","Texas State University",2017,24277,9605,71232
"492","Texas A & M University-College Station",2017,36669,11036,102767
"493","The University of Texas at Austin",2017,51033,10092,112283
"494","The University of Texas at El Paso",2017,9382,7548,80115
"495","Texas Christian University",2017,19740,42670,102531
"496","The University of Texas at San Antonio",2017,15973,7700,83352
"497","Texas Tech University",2017,25207,8428,81052
"498","Brigham Young University",2017,12858,5300,96402
"499","Utah State University",2017,15555,7426,81177
"500","University of Utah",2017,22400,8518,90405
"501","Liberty University",2017,32854,21292,51709
"502","Old Dominion University",2017,11159,9750,75201
"503","Virginia Polytechnic Institute and State University",2017,27423,12852,101535
"504","University of Virginia-Main Campus",2017,36779,16412,124710
"505","Washington State University",2017,22565,11041,87587
"506","University of Washington-Seattle Campus",2017,44877,10753,114011
"507","Marshall University",2017,5026,7154,64482
"508","West Virginia University",2017,20594,7992,86731
"509","University of Wisconsin-Madison",2017,35596,10488,108135
"510","University of Wyoming",2017,4306,5055,85212
"511","Stanford University",2017,44073,47940,206400
"512","Purdue University-Main Campus",2017,49354,10002,109552
"513","University of Alabama at Birmingham",2018,7845,8328,95883
"514","The University of Alabama",2018,37302,10780,92677
"515","Auburn University",2018,20742,10968,93421
"516","University of South Alabama",2018,6555,7812,65506
"517","Troy University",2018,7332,8692,59820
"518","Arizona State University Campus Immersion",2018,26869,10792,103233
"519","University of Arizona",2018,39941,11877,100087
"520","University of Arkansas",2018,18732,9062,88851
"521","Arkansas State University",2018,5253,8478,62244
"522","California State University-Fresno",2018,18476,6585,84611
"523","University of California-Berkeley",2018,89607,14170,155186
"524","University of California-Los Angeles",2018,113754,13261,166775
"525","San Diego State University",2018,69399,7460,97875
"526","San Jose State University",2018,36243,7721,95425
"527","University of Southern California",2018,64352,54259,133820
"528","University of Colorado Boulder",2018,36604,12086,105159
"529","Colorado State University-Fort Collins",2018,24496,11632,91338
"530","United States Air Force Academy",2018,10376,NA,82039
"531","University of Connecticut",2018,34886,14880,107600
"532","University of Central Florida",2018,41816,6368,94197
"533","Florida Atlantic University",2018,17120,4831,82636
"534","Florida International University",2018,19410,6556,94945
"535","Florida State University",2018,50314,5656,101561
"536","University of Florida",2018,38905,6381,105826
"537","University of Miami",2018,34281,48484,111801
"538","University of South Florida",2018,35043,6410,92517
"539","Georgia Institute of Technology-Main Campus",2018,35644,12418,113704
"540","Georgia Southern University",2018,11522,6356,60201
"541","University of Georgia",2018,26164,11818,101203
"542","University of Hawaii at Manoa",2018,9345,11754,109243
"543","Boise State University",2018,10789,7326,72891
"544","University of Illinois Urbana-Champaign",2018,39406,15074,113428
"545","Northern Illinois University",2018,14157,18268,74564
"546","Northwestern University",2018,40425,52678,154697
"547","Ball State University",2018,23988,9774,67207
"548","Indiana University-Bloomington",2018,44169,10533,94280
"549","University of Notre Dame",2018,20371,51505,129197
"550","Iowa State University",2018,18855,8636,100652
"551","University of Iowa",2018,26706,8965,90881
"552","University of Kansas",2018,14752,10824,92264
"553","Kansas State University",2018,8685,10135,81838
"554","Pittsburg State University",2018,2418,7100,65982
"555","University of Kentucky",2018,19324,11942,96314
"556","University of Louisville",2018,13851,11264,78411
"557","Western Kentucky University",2018,9250,10202,66575
"558","Louisiana State University and Agricultural & Mechanical College",2018,24280,11374,91794
"559","Louisiana Tech University",2018,7297,9645,70666
